Issue Key,Issue Type,Summary,User Story,Priority,Story Points,Sprint,Related Requirements,Status
SEP-01,Story,Standardize change request intake,"As a business requester, I want to submit a standardized software change request so that the delivery team receives the information required to understand my business need.",High,5,Sprint 1,"BR-01; FR-01",To Do
SEP-02,Story,Validate request completeness,"As a business analyst, I want incomplete requests identified before engineering review so that engineering teams do not spend time assessing unclear requirements.",High,5,Sprint 1,"BR-02; FR-02",To Do
SEP-03,Story,Track request status and ownership,"As a stakeholder, I want to view the current status and owner of a request so that I do not rely on manual email follow-ups.",High,5,Sprint 1,"BR-03; BR-04; FR-03; FR-04",To Do
SEP-04,Story,Record engineering feasibility review,"As an engineer, I want to record feasibility, dependencies and risks so that implementation decisions are based on documented technical analysis.",High,8,Sprint 2,"BR-06; FR-06",To Do
SEP-05,Story,Create prioritized backlog item,"As a product owner, I want approved requests converted into prioritized backlog items so that the team can plan work according to business value and delivery capacity.",High,5,Sprint 2,"BR-07; FR-07",To Do
SEP-06,Story,Require acceptance criteria before development,"As a developer, I want each user story to contain clear acceptance criteria before development begins so that expected behaviour is understood before implementation.",High,3,Sprint 2,"BR-08; FR-08",To Do
SEP-07,Story,Link requirements to test scenarios,"As a QA analyst, I want test scenarios linked to requirements and acceptance criteria so that I can verify the delivered change against the business need.",High,5,Sprint 3,"BR-05; BR-09; FR-05; FR-09",To Do
SEP-08,Story,Record test results and defects,"As a QA analyst, I want to record test outcomes and associated defects so that unresolved issues are visible before business acceptance.",Medium,5,Sprint 3,"BR-09; FR-09",To Do
SEP-09,Story,Capture business acceptance,"As a business approver, I want to approve successfully tested functionality so that only changes meeting the intended business need are marked ready for release.",High,3,Sprint 3,"BR-10; FR-10",To Do
SEP-10,Story,Maintain request history,"As a business analyst, I want to review status, ownership and approval history so that decisions and handoffs remain traceable.",Medium,3,Sprint 3,"BR-05; BR-11; FR-11",To Do
SEP-11,Story,Enforce workflow controls,"As a process owner, I want workflow rules to prevent incomplete requests from progressing so that required reviews, testing and approvals occur in sequence.",High,8,Sprint 4,"BR-12; FR-12",To Do
